order,bytes_total,mean_recall,normalized_recall
sequential,0.0,0.0,0.0
sequential,82000000.0,0.0,0.0
sequential,164000000.0,0.015260000000000003,0.015959672021419014
sequential,410000000.0,0.04268,0.044636880856760375
sequential,820000000.0,0.09246,0.09669929718875502
sequential,1230000000.0,0.14104,0.14750669344042838
sequential,1640000000.0,0.19018000000000002,0.198899765729585
sequential,2460000000.0,0.28947999999999996,0.3027526773761713
sequential,4100000000.0,0.48656000000000005,0.5088688085676037
sequential,5740000000.0,0.6757799999999999,0.7067645582329316
sequential,5904000000.0,0.6944,0.7262382864792504
sequential,6150000000.0,0.7226,0.7557312583668006
sequential,6396000000.0,0.75144,0.7858935742971888
sequential,6560000000.0,0.7713200000000001,0.8066850736278448
sequential,6970000000.0,0.8176600000000002,0.8551497657295851
sequential,7216000000.0,0.8451600000000002,0.8839106425702814
sequential,7380000000.0,0.8643799999999999,0.9040118808567603
sequential,7544000000.0,0.8828799999999999,0.9233601070950467
sequential,7790000000.0,0.9095799999999999,0.9512843038821954
sequential,8200000000.0,0.95616,1.0
in_degree,0.0,0.0,0.0
in_degree,82000000.0,0.03492000000000001,0.0365210843373494
in_degree,164000000.0,0.06644,0.06948627844712182
in_degree,410000000.0,0.14438,0.1509998326639893
in_degree,820000000.0,0.24624000000000001,0.25753012048192775
in_degree,1230000000.0,0.32918000000000003,0.34427292503346724
in_degree,1640000000.0,0.401,0.4193858768406961
in_degree,2460000000.0,0.52254,0.5464984939759037
in_degree,4100000000.0,0.69996,0.7320532128514057
in_degree,5740000000.0,0.8245600000000001,0.8623661311914325
in_degree,5904000000.0,0.83634,0.8746862449799196
in_degree,6150000000.0,0.8527399999999999,0.8918381860776439
in_degree,6396000000.0,0.8688,0.9086345381526104
in_degree,6560000000.0,0.8793400000000001,0.9196577978580992
in_degree,6970000000.0,0.9028200000000001,0.9442143574297189
in_degree,7216000000.0,0.9166,0.958626171352075
in_degree,7380000000.0,0.9242,0.9665746318607764
in_degree,7544000000.0,0.9323799999999999,0.9751296854082997
in_degree,7790000000.0,0.9439200000000001,0.987198795180723
in_degree,8200000000.0,0.95616,1.0
hop_distance,0.0,0.0,0.0
hop_distance,82000000.0,0.013619999999999998,0.014244477911646585
hop_distance,164000000.0,0.02754,0.02880271084337349
hop_distance,410000000.0,0.06345999999999999,0.06636964524765729
hop_distance,820000000.0,0.11148000000000002,0.11659136546184741
hop_distance,1230000000.0,0.16384,0.17135207496653282
hop_distance,1640000000.0,0.21458000000000002,0.2244185073627845
hop_distance,2460000000.0,0.31854,0.33314508032128515
hop_distance,4100000000.0,0.51582,0.5394703815261044
hop_distance,5740000000.0,0.69284,0.7246067603748326
hop_distance,5904000000.0,0.7104600000000001,0.7430346385542169
hop_distance,6150000000.0,0.7359,0.769641064257028
hop_distance,6396000000.0,0.7618800000000001,0.796812248995984
hop_distance,6560000000.0,0.7787,0.8144034471218206
hop_distance,6970000000.0,0.8221,0.8597933400267738
hop_distance,7216000000.0,0.8484200000000001,0.8873201137884873
hop_distance,7380000000.0,0.86654,0.9062709170013387
hop_distance,7544000000.0,0.8850399999999999,0.9256191432396251
hop_distance,7790000000.0,0.9121800000000001,0.954003514056225
hop_distance,8200000000.0,0.95616,1.0
traversal_frequency,0.0,0.0,0.0
traversal_frequency,82000000.0,0.0144,0.015060240963855422
traversal_frequency,164000000.0,0.03262,0.03411562918340027
traversal_frequency,410000000.0,0.06212,0.0649682061579652
traversal_frequency,820000000.0,0.10538000000000002,0.11021168005354753
traversal_frequency,1230000000.0,0.15366000000000002,0.1607053212851406
traversal_frequency,1640000000.0,0.20012000000000002,0.209295515394913
traversal_frequency,2460000000.0,0.29625999999999997,0.30984354082998655
traversal_frequency,4100000000.0,0.4889,0.5113160977242303
traversal_frequency,5740000000.0,0.6781200000000001,0.7092118473895583
traversal_frequency,5904000000.0,0.6968,0.7287483266398929
traversal_frequency,6150000000.0,0.7257399999999999,0.7590152275769745
traversal_frequency,6396000000.0,0.75446,0.7890520414993306
traversal_frequency,6560000000.0,0.77248,0.8078982597054887
traversal_frequency,6970000000.0,0.8192200000000001,0.8567812918340028
traversal_frequency,7216000000.0,0.8463,0.8851029116465864
traversal_frequency,7380000000.0,0.86392,0.9035307898259706
traversal_frequency,7544000000.0,0.8840600000000001,0.9245942101740295
traversal_frequency,7790000000.0,0.9109799999999999,0.9527484939759036
traversal_frequency,8200000000.0,0.95616,1.0
random_avg,0.0,0.0,0.0
random_avg,82000000.0,0.0,0.0
random_avg,164000000.0,0.0025080000000000002,0.0026229919678714864
random_avg,410000000.0,0.033940000000000005,0.035496151271753686
random_avg,820000000.0,0.08455599999999999,0.08843289825970548
random_avg,1230000000.0,0.133652,0.13977995314591699
random_avg,1640000000.0,0.183064,0.1914574966532798
random_avg,2460000000.0,0.28212000000000004,0.2950552208835342
random_avg,4100000000.0,0.47898399999999997,0.5009454484605087
random_avg,5740000000.0,0.6729839999999999,0.703840361445783
random_avg,5904000000.0,0.6923320000000001,0.72407546854083
random_avg,6150000000.0,0.720836,0.7538863788487282
random_avg,6396000000.0,0.749188,0.7835383199464524
random_avg,6560000000.0,0.76834,0.8035684404283802
random_avg,6970000000.0,0.8154160000000001,0.8528028781793844
random_avg,7216000000.0,0.8436400000000001,0.8823209504685409
random_avg,7380000000.0,0.8623520000000001,0.9018908969210175
random_avg,7544000000.0,0.881244,0.9216490963855422
random_avg,7790000000.0,0.9089160000000002,0.9505898594377512
random_avg,8200000000.0,0.95616,1.0
